titel,grondsoort,grondwaterstand,Biodiversiteitsindex,startjaar,leeftijd plot,oppervlak,Datum,Egelantier8,Fruitboom1,Fruitboom10,Fruitboom11,Fruitboom12,Fruitboom13,Fruitboom14,Fruitboom15,Fruitboom16,Fruitboom17,Fruitboom18,Fruitboom19,Fruitboom2,Fruitboom20,Fruitboom21,Fruitboom22,Fruitboom23,Fruitboom24,Fruitboom25,Fruitboom26,Fruitboom27,Fruitboom28,Fruitboom29,Fruitboom3,Fruitboom30,Fruitboom31,Fruitboom33,Fruitboom34,Fruitboom4,Fruitboom42,Fruitboom43,Fruitboom44,Fruitboom45,Fruitboom46,Fruitboom47,Fruitboom48,Fruitboom49,Fruitboom5,Fruitboom50,Fruitboom51,Fruitboom52,Fruitboom53,Fruitboom54,Fruitboom6,Fruitboom7,Fruitboom8,Fruitboom9,Grote struik11,Grote struik12,Grote struik13,Grote struik14,Grote struik15,Grote struik16,Grote struik18,Grote struik19,Grote struik2,Grote struik20,Grote struik21,Grote struik22,Grote struik23,Grote struik24,Grote struik25,Grote struik3,Grote struik4,Grote struik47,Grote struik5,Grote struik55,Grote struik6,Grote struik7,Grote struik8,Grote struik9,KgCO2/Ha,Naaldboom1,Naaldboom10,Naaldboom11,Naaldboom12,Naaldboom13,Naaldboom14,Naaldboom15,Naaldboom16,Naaldboom17,Naaldboom18,Naaldboom2,Naaldboom23,Naaldboom3,Naaldboom4,Naaldboom5,Naaldboom6,Naaldboom7,Naaldboom8,Naaldboom9,Notenboom1,Notenboom12,Notenboom14,Notenboom19,Notenboom2,Notenboom3,Notenboom32,Notenboom33,Notenboom34,Notenboom35,Notenboom36,Notenboom37,Notenboom38,Notenboom39,Notenboom4,Notenboom40,Notenboom41,Notenboom5,Notenboom9,Overig loofboom1,Overig loofboom10,Overig loofboom11,Overig loofboom12,Overig loofboom13,Overig loofboom14,Overig loofboom15,Overig loofboom16,Overig loofboom17,Overig loofboom18,Overig loofboom2,Overig loofboom24,Overig loofboom26,Overig loofboom27,Overig loofboom28,Overig loofboom29,Overig loofboom3,Overig loofboom30,Overig loofboom31,Overig loofboom32,Overig loofboom35,Overig loofboom36,Overig loofboom37,Overig loofboom38,Overig loofboom39,Overig loofboom40,Overig loofboom41,Overig loofboom42,Overig loofboom43,Overig loofboom45,Overig loofboom48,Overig loofboom5,Overig loofboom56,Overig loofboom57,Overig loofboom58,Overig loofboom59,Overig loofboom6,Overig loofboom7,Overig loofboom8,Overig loofboom9,Pionier/wijker1,Pionier/wijker10,Pionier/wijker11,Pionier/wijker12,Pionier/wijker13,Pionier/wijker14,Pionier/wijker15,Pionier/wijker16,Pionier/wijker17,Pionier/wijker18,Pionier/wijker19,Pionier/wijker2,Pionier/wijker20,Pionier/wijker21,Pionier/wijker22,Pionier/wijker23,Pionier/wijker24,Pionier/wijker25,Pionier/wijker26,Pionier/wijker3,Pionier/wijker4,Pionier/wijker5,Pionier/wijker6,Pionier/wijker7,Pionier/wijker8,Pionier/wijker9,bestemming,dichtsbijzijnde natuur,diverse jonge loofbomen4,gezamelijk jonge bessenstruiken3,plot,provincie,uitgangssituatie
,Kleigrond,15 centimeter onder het maaiveld,,2020,4,25000,20201204,,,,,,,,,,,,,"['diameter: 3 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 10 ', 'hoogte: 2000 ', 'boomklasse: Dit is een dode boom']",,,,,,,,,,,,,,,,,,,,,,,,,,['Recreatie'],2 kilometer,,,[4168],Noord-Holland,Populierenbos (gekapt)
,Zandgrond,15 centimeter onder het maaiveld,,2020,2,15000,20201218,,"['diameter: 8 ', 'hoogte: 220 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 15 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,"['diameter: 15 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']","['diameter: 9 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,"['diameter: 9 ', 'hoogte: 350 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,13885,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 15 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']","['diameter: 15 ', 'hoogte: 400 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,"['diameter: 25 ', 'hoogte: 650 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['diameter: 9 ', 'hoogte: 300 ', 'boomklasse: Dit is een levende boom']",,['Agrarisch'],Het voedselbos grenst aan natuur,,,[10730],Overijssel,Weiland
,Zandgrond,15 centimeter onder het maaiveld,,2020,2,15000,20201205,,,,,,,,,,,,,"['diameter: 3 ', 'hoogte: 180 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,"['diameter: 4 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,"['diameter: 5 ', 'hoogte: 160 ', 'boomklasse: Dit is een levende boom']",,,,,,"['diameter: 4 ', 'hoogte: 160 ', 'boomklasse: Dit is een levende boom']","['diameter: 10 ', 'hoogte: 260 ', 'boomklasse: Dit is een levende boom']","['diameter: 10 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,1081,,,,,,,,,,,,,,,,,,,,"['diameter: 3 ', 'hoogte: 130 ', 'boomklasse: Dit is een levende boom']",,,,,"['diameter: 4 ', 'hoogte: 200 ', 'boomklasse: Dit is een levende boom']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,,,[10730],Overijssel,Weiland
,Zandgrond,60-120 centimeter onder het maaiveld,,2020,3,5000,20201221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,,,[4510],Gelderland,Weiland
,Kleigrond,15 centimeter onder het maaiveld,,2020,1,25000,20201204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Recreatie'],2 kilometer,,,[3941],Noord-Holland,Populierenbos (gekapt)
,Kleigrond,15 centimeter onder het maaiveld,,2020,1,25000,20201204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Recreatie'],2 kilometer,,,[3942],Noord-Holland,Populierenbos (gekapt)
,"Los, silt of lemig zand",dieper,,2015,10,5730,20201030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],Het voedselbos grenst aan natuur,,,[3465],Limburg,Boomgaard
,Zandgrond,15 centimeter onder het maaiveld,,2020,1,-4,20201019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Recreatie'],Het voedselbos grenst aan natuur,,,[1465],Gelderland,Weiland
,"Los, silt of lemig zand",60-120 centimeter onder het maaiveld,,2009,7,24.000,20200928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Agrarisch'],"0,5 kilometer",,,[1482],Gelderland,Akkerbouw
,,,,,2,,20200922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[1411],,
