Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2014;25;Waterschap Brabantse Delta;NL25;200441;NL25_200441;VANAF ZUIDOEVER, IN MIDDEN VIJVERPARTIJ;104010.0000;398169.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;203604;NL25_203604;DUIKER IN ZUID LANGE WEG;86978.0000;402602.0000;M30;Zwak brakke wateren;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;203605;NL25_203605;NOORDZEEDIJK THV BUSHALTE 2E KR.W;86970.0000;404480.0000;M30;Zwak brakke wateren;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;203616;NL25_203616;D4, OOSTELIJK VAN SNELWEG;85950.0000;405100.0000;M30;Zwak brakke wateren;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;203623;NL25_203623;WEELKREEK, THV PARALLELWEG WESTKANT A29 DINTELOORD;85850.0000;405653.0000;M1b;Niet-zoete gebufferde sloten;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;211014;NL25_211014;CA 5 M TZV DUIKER, BIJ PB 40;114810.0000;396290.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;211015;NL25_211015;NABIJ KNIK IN BEEK;114490.0000;396310.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;221702;NL25_221702;NABIJ VLOEIWEIDE 150 M BOV.STR.BRUG;107880.0000;395180.0000;R19;Doorstroommoeras;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;221707;NL25_221707;NET VOOR DE DUIKER IN BIJLOOPWEGJE;109314.0000;398179.0000;R19;Doorstroommoeras;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;310246;NL25_310246;WATERLOOP ZUIDWEST BIJ PAD;78652.0000;392853.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;310248;NL25_310248;TOEVOERSLOOT VOLKSTUINCOMPLEX NAAR GROOTE MELANEN;78801.0000;392787.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;590113;NL25_590113;MIDDEN OP DE VIJVER WESTELIJK LOB;134725.0000;410065.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;590114;NL25_590114;MIDDEN OP DE VIJVER OOSTELIJKE LOB;134842.0000;410064.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;590205;NL25_590205;OML.STORT, BO.STUW (BE.STORT+PUT);133420.0000;413620.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2014;25;Waterschap Brabantse Delta;NL25;690120;NL25_690120;SLOOT IN WEILAND TWV ZOUTENDIJK;109750.0000;411030.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
