Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2019;25;Waterschap Brabantse Delta;NL25;100003b;NL25_100003b;Wilhelminakanaal 100m bo brug rw breda-gorinchem;119630.0000;404646.0000;M6b;Grote ondiepe kanalen met scheepvaart;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;110001b;NL25_110001b;Donge-DON1 nabij aflaatwerk Wilhelminakanaal;127036.0000;401240.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200001b;NL25_200001b;Mark en Dintel MED1 Brug in weg Dinteloord-Heijningen;86078.0000;406719.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL25_MV_200001;0.27;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200013;NL25_200013;BRUG A16 BREDA,VANAF VENTWEG;107441.0000;405652.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200028b;NL25_200028b;Mark en Dintel 1000m Be Krouwelaarhaven- kmpaal 2;111760.0000;403300.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200029b;NL25_200029b;Mark en Dintel- be weg prinsenbeek-zevenbergen km14-6;102807.0000;404277.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL25_MV_200001;0.25;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200405b;NL25_200405b;Leurse Haven LEU6 1km bovenstr- uitm in Mark;102770.0000;403094.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200503b;NL25_200503b;Laakse Vaart LAK6 Duiker in weg Etten-hoeven;101040.0000;398820.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200504b;NL25_200504b;Kibbelvaart KIB2 Duiker in weg Etten-hoeven;100174.0000;398959.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200507b;NL25_200507b;Laakse Vaart LAK1 Einde Veerweg links;100770.0000;403974.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;200520;NL25_200520;VRIESVEEM TUSSEN DUIKER SWR EN SPOORLIJN;101010.0000;398000.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;202201b;NL25_202201b;Laurensloot LAU2 Duiker in Middenweg-Teteringen;113369.0000;404248.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;202519b;NL25_202519b;Zandwiel ZAN1 Twv Haagse dijk Etten-Leur;104650.0000;404060.0000;M16;Diepe gebufferde meren;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;202520b;NL25_202520b;Weimeren- veenput1 WEI1 Noordelijke plas Prinsenbeek;106620.0000;405250.0000;M25;Ondiepe laagveenplassen;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;202521b;NL25_202521b;De Berk-veenput 1 DBE1 Poeltje bij bosrand Etten;104630.0000;402170.0000;M25;Ondiepe laagveenplassen;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;202539;NL25_202539;SAMENKOMSTPUNT SLOTEN 150 M TEN OOSTEN HALS GAT;105136.0000;405181.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;202540;NL25_202540;SLOOT POLDERWEG;106806.0000;405549.0000;;;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2019;25;Waterschap Brabantse Delta;NL25;203002b;NL25_203002b;Brillenwiel St- Maartenspolder BRW1 Polderdijk;99060.0000;403350.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
