Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2019;27;Waterschap De Dommel;NL27;144305;NL27_144305;EINDHOVENS KANAAL;171765.0000;384822.0000;M6a;Grote ondiepe kanalen zonder scheepvaart;O;Overige watergangen;NL27_244171;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;245813;NL27_245813;ACHTERSTE GOORVEN;142974.0000;397318.0000;M26;Ondiepe zwak gebufferde hoogveenplassen/vennen;;;;;;2021-10-12T14:30:05+02:00
2019;27;Waterschap De Dommel;NL27;250023;NL27_250023;BOXTEL_OOST_TER_HOOGTE_VAN_DE_VORSENPOEL;152583.0000;399238.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250037;NL27_250037;RUN;153549.0000;375379.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240035;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250051;NL27_250051;BOVENSTROOMS_ZANDPAD_DE_BULT;169743.0000;368820.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250053;NL27_250053;DRIEBOKSTRAAT_TE_BUDEL;166757.0000;364918.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250055;NL27_250055;BERGBOSWEG BIJ GASTEL (GRENS BELGIE);164929.6000;366346.1000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;;;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250060;NL27_250060;GENDER;154855.0000;378605.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240060;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250064;NL27_250064;EKKERSRIJT;157723.0000;388708.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240063;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250065;NL27_250065;GROOTE BEEK;160549.0000;389520.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240063;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250401;NL27_250401;REUSEL_TURKAA, BENEDENSTROOMS DEEL BIJ VISVIJVER;140879.0000;386928.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_R_1_2;;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;250404;NL27_250404;REUSEL_TURKAA, BOVENSTROOMS DEEL;141044.0000;386441.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_R_1_2;;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;251038;NL27_251038;BOVENSTROOMS_WEG_PUTTENDIJK_EERSEL;149910.0000;370385.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;251039;NL27_251039;GROOTGOOR_BENEDENSTROOMS_STUW_14;155293.0000;376481.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;251100;NL27_251100;STRIJPER AA;166370.0000;372100.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;251101;NL27_251101;BUULDER AA;168732.0000;370304.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;251103;NL27_251103;PARALLEL_AAN_PAALDIJK_LEENDERSTRIJP;165344.0000;368977.0000;R3;Droogvallende langzaam stromende bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;251104;NL27_251104;GROOTE WATERLOOP;153615.0000;396166.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;NL27_240027;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252022;NL27_252022;BERKENLOOP_VOOR_MONDING_GROOTE_WATERLOOP;155052.0000;396712.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252044;NL27_252044;PARALLEL_AAN_DE_PAILJAARTSEWEG_KLEIN_BROEK;154245.0000;393989.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252051;NL27_252051;+/- 100 M BEN. STR STUW MOLENHEIDE MAARHEEZE;169605.0000;368982.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;;;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252053;NL27_252053;BENEDENSTROOMSE_TRAP_BIJ_ZUURSTOFSENSORBUIS;169269.0000;369358.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252055;NL27_252055;BUULDER AA;168582.0000;366893.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);;;;;;2021-10-12T14:30:05+02:00
2019;27;Waterschap De Dommel;NL27;252056;NL27_252056;BENEDENSTROOMS_DORPSTRAAT_TE_LEENDE;166964.0000;373058.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252093;NL27_252093;NEMER;144303.0000;399990.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL27_240092;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252095;NL27_252095;MEANDER_HAL;149550.0000;404057.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;252096;NL27_252096;RUITING_BIJ_MONDING_KLEINE_AA_TE_ESCH;147617.0000;401764.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;253090;NL27_253090;ESSCHE STROOM;150376.0000;406066.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL27_240092;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;254150;NL27_254150;AFWATERINGSKANAAL DOMMEL EINDHOVEN;159365.0000;382169.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;NL27_244150;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;254170;NL27_254170;KANAALDIJK_ZUID_T_H_V_CAMPINA_MELKFABRIEK;162620.0000;382989.0000;M6a;Grote ondiepe kanalen zonder scheepvaart;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;254171;NL27_254171;EINDHOVENS KANAAL;165816.0000;382596.0000;M6a;Grote ondiepe kanalen zonder scheepvaart;O;Overige watergangen;NL27_244171;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259116;NL27_259116;IN_NIEUW_GEGRAVEN_SLOOT;142789.0000;382763.0000;R3;Droogvallende langzaam stromende bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259124;NL27_259124;REFERENTIELOCATIE_1_HOUTINBRENG_DE_HOGT;157810.0000;379284.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259125;NL27_259125;REFERENTIELOCATIE_2_HOUTINBRENG_DE_HOGT;157837.0000;379311.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259126;NL27_259126;REFERENTIELOCATIE_3_UTINBRENG_DE_HOGT;157891.0000;379331.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259127;NL27_259127;NET_BENEDENSTROOMS_NETERSELSE_LOOP;142668.0000;382387.0000;R3;Droogvallende langzaam stromende bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259128;NL27_259128;BOVENSTROOMS_FONS_VAN_DER_HEIJDENSTRAAT;142754.0000;382522.0000;R3;Droogvallende langzaam stromende bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259129;NL27_259129;VOOR_MONDING_IN_DE_GROOTE_BEERZE;142836.0000;382935.0000;R3;Droogvallende langzaam stromende bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;259843;NL27_259843;BOVENSTROOMS_DE_RIESSEN_LEENDERSTRIJP;165469.0000;370969.0000;R3;Droogvallende langzaam stromende bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;270125;NL27_270125;WATERHARMONICA SOERENDONK;169188.0000;369257.0000;M11;Kleine ondiepe gebufferde plassen;;;;;;2021-10-12T14:30:05+02:00
2019;27;Waterschap De Dommel;NL27;E10-1;NL27_E10-1;Kleine Dommel_BOVENSTROOMS WEG STRABRECHT, HEEZE;168951.0000;377559.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240047;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E11-1;NL27_E11-1;Sterkselsche Aa_TRAJECT BIJ KAPELLERPUT/LAMBREKVEN HEEZE;169602.0000;375723.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240047;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E11-3;NL27_E11-3;PARALLEL_AAN_WEG_BIESPUTTEN_TE_STERKSEL;169703.0000;373207.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E11-4;NL27_E11-4;DE_STOEIING_BIJ_BOER_VEROUDEN_HEEZE;172286.0000;371974.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E12-1;NL27_E12-1;BENEDENSTROOMS_STUW_MOLENHEIDE_MAARHEEZE;169614.0000;369033.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E12-2;NL27_E12-2;Buulder Aa_NET BOVENSTROOMS OUDE DIJK TE LEENDE;167404.0000;371580.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E12-3;NL27_E12-3;BENEDENSTROOMS_GASTELSEWEG_BUDEL;167312.0000;365879.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E12-4;NL27_E12-4;BIJ_VAN_HORNELAAN_CRANENDONCK;169354.0000;368277.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E12-5;NL27_E12-5;BIJ_VLIEGVELD_BUDEL_DE_LA_MINESTRAAT;169400.0000;362674.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E12-6;NL27_E12-6;DE_ONTGINNINGSWEG_TE_BUDEL;170584.0000;365989.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E12-7;NL27_E12-7;BOVENSTROOMS_DAASDONKEN;168755.0000;370204.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E13-1;NL27_E13-1;Groote Aa_BENEDENSTROOMS HET HEIKE, HEEZE;168019.0000;375265.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E13-2;NL27_E13-2;BIJ_HET_LANGBOSCH_GASTEL;166283.0000;367080.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E13-3;NL27_E13-3;PAALDIJK_BIJ_SOERENDONKSE_GOOR;165433.0000;369226.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E13-4;NL27_E13-4;Strijper Aa_JANSBORG TE LEENDERSTRIJP;166384.0000;372119.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E13-5;NL27_E13-5;Meander Leenderstrijp vispassage_AANGETAKTE MEANDER JANSBORG LEENDERSTRIJP;166317.0000;371878.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E13-7;NL27_E13-7;RIESTEN_LEENDERSTRIJP;165788.0000;371042.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E16-1;NL27_E16-1;Tongelreep_BIJ MONDING DOMMEL;161142.0000;381869.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E16-2;NL27_E16-2;Tongelreep_PARALLEL AAN ZWEMBAD PIETER HOOGEBAND EINDHOVEN;161164.0000;380725.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E16-3;NL27_E16-3;Tongelreep_BIJ VOETBALVELD AALST (BRABANTIALAAN);161472.0000;378940.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E19-2;NL27_E19-2;Tongelreep_NABIJ DE HURKEN AALST;161767.0000;377007.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E19-3;NL27_E19-3;Tongelreep_BENEDENSTROOMS LEENDERWEG VALKENSWAARD;162416.0000;373934.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E19-4;NL27_E19-4;Tongelreep_BOVENSTROOMS ACHTEREIND AALST (VORSTERVOORTSE HOEVE);162200.0000;376560.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E19-5;NL27_E19-5;Tongelreep_BENEDENSTROOMS DRIEBRUGGEN VALKENSWAARD;161427.0000;372227.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E19-6;NL27_E19-6;Tongelreep_BOVENSTROOMS DRIEBRUGGEN VALKENSWAARD;161018.0000;371635.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E20-1;NL27_E20-1;Tongelreep_BRUGGERHUIZEN TE VALKENSWAARD;161221.0000;371103.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E20-2;NL27_E20-2;Tongelreep_BRUGSEHEIDE VALKENSWAARD;162155.0000;369764.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E208-1;NL27_E208-1;Gender_WIJK GENDERBEEMD EINDHOVEN;158593.0000;381364.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240060;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E208-2;NL27_E208-2;Gender_PEGBROEKENLAAN VELDHOVEN;155213.0000;378926.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240060;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E208-3;NL27_E208-3;Gender_GOLFBAAN STEENSEL;153673.0000;377410.0000;R4;Permanente langzaam stromende bovenloop op zand (vervalt per 2022, gebruik liever R4a of b);O;Overige watergangen;NL27_240060;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E21-1;NL27_E21-1;Tongelreep_MEANDERING BENEDENSTROOMS ACHELSE KLUIS;162218.0000;369296.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E21-2;NL27_E21-2;Tongelreep_VISTRAP BENEDENSTROOMS ACHELSE KLUIS;162021.0000;368425.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240014;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E3-1;NL27_E3-1;Kleine Aa (Boxtel)_NET BOVENSTROOMS VOORSTRAAT BOXTEL;148325.0000;399479.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240087;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E34-3;NL27_E34-3;BOVENSTROOMS_VOORTEINDSEWEG_MIDDELBEERS;144299.0000;386945.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E34-4;NL27_E34-4;BOVENSTROOMS_DR_J_VD_MORTELLAAN_BAEST;146558.0000;388786.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E40-2;NL27_E40-2;Reusel_BENEDENSTROOMS WILHELMINAKANAAL BIJ DEN OPSLAG;140651.0000;390897.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240105;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E40-3;NL27_E40-3;Reusel_TER HOOGTE VAN RWZI BIEST-HOUTAKKER;140570.0000;390015.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240105;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E41-1;NL27_E41-1;Groote Aa_TUSSEN GINDEROVER EN SPOOR TE HEEZE;168401.0000;376021.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240057;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E42-1;NL27_E42-1;Reusel_BENEDENSTROOMS HOOGHUISWEG TE DIESSEN;140792.0000;388598.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240105;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E43-1;NL27_E43-1;Meander Turkaa_MEANDER DE TURKAA BIJ INSTROOM;141043.0000;386407.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240105;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E43-2;NL27_E43-2;Reusel_BOVENSTROOMS WATERMOLENWEG TE BAARSCHOT;141035.0000;386028.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240105;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E48-3;NL27_E48-3;Nieuwe Leij_MEANDERS BENEDENSTROOMS KOEBRUGSEWEG TILBURG;136914.0000;396637.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL27_240113;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E56-2;NL27_E56-2;BOVENSTROOMS_DE_HUGTEN;174635.0000;370084.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
2019;27;Waterschap De Dommel;NL27;E56-3;NL27_E56-3;PARALLEL_AAN_DE_STOEIING_STERKSEL;171818.0000;372393.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;1;;2023-06-19T13:25:13+02:00
