Meetjaar;WaterbeheerderCode;WaterbeheerderNaam;Namespace;Identificatie;MeetobjectCode;Omschrijving;GeometriePuntX_RD;GeometriePuntY_RD;KRWwatertypeCode;KRWwatertypeOmschrijving;WatergangCategorieCode;WatergangCategorieOmschrijving;HoortbijGeoobjectIdentificatie;Wegingsfactor;LigtInGeoobjectIdentificatie;PublicatieDatumTijd
2017;25;Waterschap Brabantse Delta;NL25;110001b;NL25_110001b;Donge-DON1 nabij aflaatwerk Wilhelminakanaal;127036.0000;401240.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;110006;NL25_110006;SINGEL BEUNINGENSTRAAT REESHOF;129400.0000;399420.0000;M1a;Zoete gebufferde sloten;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;200029b;NL25_200029b;Mark en Dintel- be weg prinsenbeek-zevenbergen km14-6;102807.0000;404277.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL25_MV_200001;0.25;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;202422;NL25_202422;WESTELIJKE LOB HALVERWEGE;111100.0000;404100.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;202423;NL25_202423;OOSTELIJKE LOB HALVERWEGE;111380.0000;404210.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;202431;NL25_202431;ZWEMZONE, ONDIEP GED. NW-HOEK, 10 M VAN STRAND.;110890.0000;404440.0000;M11;Kleine ondiepe gebufferde plassen;O;Overige watergangen;;;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;203602b;NL25_203602b;De Barend BAR4 Bloemendijk tzv Dinteloord;82509.0000;403590.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_MK_203607;0.4;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;203607b;NL25_203607b;Potmarkreek POT1 50m tov Steenb w Doord thv km 112;85402.0000;403110.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_MK_203607;0.6;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;210012b;NL25_210012b;Boven Mark BOV8- brug in Markweg te Galder;112922.0000;390858.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;210016b;NL25_210016b;Boven Mark BOV9- brug in weg Castelre-Minderhout;112056.0000;381124.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL25_BM_210002;0.2;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;210201b;NL25_210201b;Merkske MER2 Bovenstrooms Steenenbrug;112762.0000;382276.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;NL25_ME_210201;1;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;210406b;NL25_210406b;Strijbeekse Beek Bovenstrooms stuw Strijbeekseweg;114000.0000;390220.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;NL25_SB_210406;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;210506b;NL25_210506b;Leijloop LEY6 bovenstrooms duiker in Oude trambaan;111025.0000;389983.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;210803b;NL25_210803b;Chaamse Beek CHA3 duiker in weg Rakens-Geersbroek;115747.0000;394176.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;NL25_CB_210803;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;220005b;NL25_220005b;Aa of Weerijs AAW9 brug in vloeiweg;103115.0000;381585.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;220013b;NL25_220013b;Aa of Weerijs AAW1 brug in Julianalaan;111724.0000;399116.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL25_AW_220013;0.1;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;240103b;NL25_240103b;Molenbeek MOB8 600m benedenstrooms grens;91542.0000;388548.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL25_MB_240301;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;240301b;NL25_240301b;Engebeek ENG1 100m bovenstr uitm in de Vliet;89807.0000;396098.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL25_MB_240301;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;24_MM_DI;NL25_24_MM_DI;Markiezaatsmeer diep (>2m);74793.0000;387765.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_820001;143.01;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;24_MM_MD;NL25_24_MM_MD;Markiezaatsmeer midden (1-2 m);77312.0000;387437.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_820001;483.01;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;24_MM_ON;NL25_24_MM_ON;Markiezaatsmeer ondiep (<1m);75558.0000;386942.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_820001;551;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;300001b;NL25_300001b;Steenbergse Vliet- loswal thv Koningsoord-Vlietdijk;77953.0000;403983.0000;R6;Langzaam stromend riviertje op zand/klei;O;Overige watergangen;NL25_MV_200001;0.25;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;310105b;NL25_310105b;Smalle Beek SMA1 zijweg van Heerleseweg bij stuw t Sas;84977.0000;395560.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;NL25_CK_390111;0.2;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;310201b;NL25_310201b;Ligne LIG2 Duiker in Olmendreef Steenbergen;79774.0000;399395.0000;M10;Laagveen vaarten en kanalen;O;Overige watergangen;NL25_LI_310201;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;310202b;NL25_310202b;Ligne LIG7 duiker in Doodlopende Laagweg;80718.0000;395721.0000;M10;Laagveen vaarten en kanalen;O;Overige watergangen;NL25_LI_310201;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;390101b;NL25_390101b;De Beek BEE2 Bij gemaal Brooijmans;84704.0000;400961.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;NL25_CK_390111;0.4;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;390110b;NL25_390110b;De Roode Weel ROW1 Vanaf Kruislandse dijk;83275.0000;400836.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;;0;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;390111b;NL25_390111b;Kruisbeek KRB1 Brug in Boonhil;85377.0000;398745.0000;M3;Gebufferde (regionale) kanalen;O;Overige watergangen;NL25_CK_390111;0.4;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;400003b;NL25_400003b;Zoom Garnizoenspad ovenstrooms afsluitstuw;77718.0000;390511.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL25_ZB_400003;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;400005b;NL25_400005b;Zoom ZOO5 50m benedenstrooms Leidingstraat;83108.0000;390556.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL25_ZB_400003;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;400025b;NL25_400025b;Kortenhoef ven 1 KOR1 westelijke ven Woensdrecht;83020.0000;381636.0000;M12;Kleine ondiepe zwak gebufferde plassen (vennen);O;Overige watergangen;NL25_GM_910123;0.5;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;42_BS_BS;NL25_42_BS_BS;Binnenschelde Binnenschelde;76206.0000;389771.0000;M30;Zwak brakke wateren;O;Overige watergangen;NL25_830002;181.6;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;44_AG_AG;NL25_44_AG_AG;Agger Agger;80025.0000;377792.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_910220;5.11;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;45_RL_LW;NL25_45_RL_LW;Rietkreek-Lange Water Lange water;76442.0000;393314.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_890306;3.12;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;45_RL_RB;NL25_45_RL_RB;Rietkreek-Lange Water Rietkreek breed;74041.0000;400337.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_890306;2.44;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;45_RL_RS;NL25_45_RL_RS;Rietkreek-Lange Water Rietkreek smal;75878.0000;398911.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_890306;6.01;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;45_RL_VE;NL25_45_RL_VE;Rietkreek-Lange Water Verkorting;75411.0000;396335.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_890306;3.2;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;48_KK_BW;NL25_48_KK_BW;Kruislandse Kreken Breed water, De Baak en Wiel aan de Drenkhoos;84640.0000;400922.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_390111;24.2;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;48_KK_LB;NL25_48_KK_LB;Kruislandse Kreken Lijnvormig breed;85119.0000;398793.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_390111;1.45;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;48_KK_LS;NL25_48_KK_LS;Kruislandse Kreken Lijnvormig smal;85082.0000;392413.0000;M14;Grote ondiepe gebufferde plassen;O;Overige watergangen;NL25_390111;2.98;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;590801b;NL25_590801b;Donge DON5 brug in Watertorenstraat;123359.0000;406665.0000;R4a;Permanente langzaam stromende laagland bovenloop op zand;O;Overige watergangen;NL25_DO_590801;0.33;;2023-06-19T13:17:18+02:00
2017;25;Waterschap Brabantse Delta;NL25;59_MB_EB_A1;NL25_59_MB_EB_A1;Molenbeek Breed, Engebeek;88731.0000;392850.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL25_240301;7.86;;2023-06-26T14:32:04+02:00
2017;25;Waterschap Brabantse Delta;NL25;59_MB_EB_B1;NL25_59_MB_EB_B1;Molenbeek Breed, Engebeek;89783.0000;396065.0000;R5;Langzaam stromende middenloop/benedenloop op zand;O;Overige watergangen;NL25_240301;7.86;;2023-06-26T14:32:04+02:00
