Meetjaar,WaterbeheerderCode,WaterbeheerderNaam,Namespace,Identificatie,MeetobjectCode,Omschrijving,GeometriePuntX_RD,GeometriePuntY_RD,KRWwatertypeCode,KRWwatertypeOmschrijving,WatergangCategorieCode,WatergangCategorieOmschrijving,HoortbijGeoobjectIdentificatie,Wegingsfactor,LigtInGeoobjectIdentificatie,PublicatieDatumTijd,cluster_id,cluster_prob,relevant,Naam,Grootte,Eerste aanplant,distance_m
2022,27,Waterschap De Dommel,NL27,144305,NL27_144305,EINDHOVENS KANAAL,171765.0,384822.0,M6a,Grote ondiepe kanalen zonder scheepvaart,O,Overige watergangen,NL27_244171,1.0,,2023-06-23T10:26:21+02:00,-1,0.0,False,,,,
2022,27,Waterschap De Dommel,NL27,201050,NL27_201050,RWZI EINDHOVEN,163105.0,385873.0,,,O,Overige watergangen,,,,2023-06-23T10:26:21+02:00,142,0.0927261218711004,False,,,,
2022,27,Waterschap De Dommel,NL27,240011,NL27_240011,Boven Dommel,157873.0,364282.0,R5,Langzaam stromende middenloop/benedenloop op zand,A,Primaire watergang (categorie A),,,,2023-06-23T10:26:21+02:00,9,0.8923092247012774,False,,,,
2022,27,Waterschap De Dommel,NL27,240013,NL27_240013,BOVEN DOMMEL,157778.0,379239.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,,,,2023-06-23T10:26:21+02:00,131,1.0,False,,,,
2022,27,Waterschap De Dommel,NL27,240014,NL27_240014,Tongelreep,161902.0,368184.0,R5,Langzaam stromende middenloop/benedenloop op zand,A,Primaire watergang (categorie A),,,,2023-06-23T10:26:21+02:00,8,0.4055891726415788,False,,,,
2022,27,Waterschap De Dommel,NL27,240015,NL27_240015,Tongelreep,161257.0,381703.0,R5,Langzaam stromende middenloop/benedenloop op zand,A,Primaire watergang (categorie A),,,,2023-06-23T10:26:21+02:00,134,1.0,False,,,,
2022,27,Waterschap De Dommel,NL27,240016,NL27_240016,Hooidonkse beek,163723.0,390063.0,M1a,Zoete gebufferde sloten,B,Secundaire watergang (categorie B),,,,2023-06-23T10:26:21+02:00,141,1.0,False,,,,
2022,27,Waterschap De Dommel,NL27,240018,NL27_240018,TONGELREEP,161221.0,371105.0,R5,Langzaam stromende middenloop/benedenloop op zand,,,,,,2023-06-23T10:26:21+02:00,70,1.0,False,,,,
2022,27,Waterschap De Dommel,NL27,240020,NL27_240020,Wateraanvoerkanaal St. Oedenrode,163891.0,397713.0,M1a,Zoete gebufferde sloten,A,Primaire watergang (categorie A),,,,2023-06-23T10:26:21+02:00,-1,0.0,False,,,,
2022,27,Waterschap De Dommel,NL27,240021,NL27_240021,BENEDEN DOMMEL,159858.0,397414.0,R6,Langzaam stromend riviertje op zand/klei,,,,,,2023-06-23T10:26:21+02:00,136,1.0,False,,,,
2022,27,Waterschap De Dommel,NL27,240022,NL27_240022,AFWATERINGSKANAAL BOXTEL,151460.0,401500.0,R6,Langzaam stromend riviertje op zand/klei,,,,,,2023-06-23T10:26:21+02:00,101,0.3919375411990927,False,,,,
2022,27,Waterschap De Dommel,NL27,240023,NL27_240023,BENEDEN DOMMEL,150737.0,399670.0,R6,Langzaam stromend riviertje op zand/klei,,,,,,2023-06-23T10:26:21+02:00,-1,0.0,False,,,,
2022,27,Waterschap De Dommel,NL27,240025,NL27_240025,Midden- en Beneden Dommel,149008.0,408854.0,R6,Langzaam stromend riviertje op zand/klei,A,Primaire watergang (categorie A),,,,2023-06-23T10:26:21+02:00,122,1.0,False,,,,
